--To get list of all installed packages run :

sudo aptitude -F '%p' search '~i!~M'	-< gives without description
i  libgirepository-1.0-1 - Library for handling GObject introspection data (runtime library)
i  libglib2.0-0 - GLib library of C routines
i  libglib2.0-bin - Programs for the GLib library
i  libglib2.0-data - Common files for GLib library
i  libglib2.0-dev - Development files for the GLib library
i  libgmp10 - Multiprecision arithmetic library
i  libgnutls30 - GNU TLS library - main runtime library
i  libgpg-error0 - GnuPG development runtime library
i  libgssapi3-heimdal - Heimdal Kerberos - GSSAPI support library
i  libgstreamer1.0-0 - Core GStreamer libraries and elements
i  libhcrypto4-heimdal - Heimdal Kerberos - crypto library
i  libheimbase1-heimdal - Heimdal Kerberos - Base library
i  libheimntlm0-heimdal - Heimdal Kerberos - NTLM support library
i  libhogweed4 - low level cryptographic library (public-key cryptos)
i  libhx509-5-heimdal - Heimdal Kerberos - X509 support library
i  libicu63 - International Components for Unicode
i  libidn2-0 - Internationalized domain names (IDNA2008/TR46) library
i  libinput-tools - input device management and event handling library - command line tools
i  libip4tc2 - netfilter libip4tc library
i  libisc-export1100 - Exported ISC Shared Library
i  libjson-c4 - JSON manipulation library - shared library
i  libkmod2 - libkmod shared library
i  libkrb5-26-heimdal - Heimdal Kerberos - libraries
i  libksba8 - X.509 and CMS support library
i  libldap-2.4-2 - OpenLDAP libraries
i  libldap-common - OpenLDAP common files for libraries
i  liblmdb0 - Lightning Memory-Mapped Database shared library
i  liblocale-gettext-perl - module using libc functions for internationalization in Perl
i  liblz4-1 - Fast LZ compression algorithm library - runtime
i  liblzma5 - XZ-format compression library
i  libmagic-mgc - File type determination library using "magic" numbers (compiled magic file)
i  libmagic1 - Recognize the type of data in a file using "magic" numbers - library
i  libmnl0 - minimalistic Netlink communication library
i  libmount1 - device mounting library
i  libmpdec2 - library for decimal floating point arithmetic (runtime library)
i  libncurses5:i386 - shared libraries for terminal handling (legacy version)
i  libncurses5-dev - transitional package for libncurses-dev
i  libncurses6 - shared libraries for terminal handling
i  libncursesw6 - shared libraries for terminal handling (wide character support)
i  libnettle6 - low level cryptographic library (symmetric and one-way cryptos)
i  libnewt0.52 - Not Erik's Windowing Toolkit - text mode windowing with slang
i  libnotify-bin - sends desktop notifications to a notification daemon (Utilities)
i  libnpth0 - replacement for GNU Pth using system threads
i  libnss-mdns - NSS module for Multicast DNS name resolution
i  libnss-systemd - nss module providing dynamic user and group name resolution
i  libp11-kit0 - library for loading and coordinating access to PKCS#11 modules - runtime
i  libpackagekit-glib2-18 - Library for accessing PackageKit using GLib
i  libpam-cap - POSIX 1003.1e capabilities (PAM module)
i  libpam-gnome-keyring - PAM module to unlock the GNOME keyring upon login
i  libpam-modules - Pluggable Authentication Modules for PAM
i  libpam-modules-bin - Pluggable Authentication Modules for PAM - helper binaries
i  libpam-runtime - Runtime support for the PAM library
i  libpam-systemd - system and service manager - PAM module
i  libpam0g - Pluggable Authentication Modules library
i  libpcre2-8-0 - New Perl Compatible Regular Expression Library- 8 bit runtime files
i  libpcre3 - Old Perl 5 Compatible Regular Expression Library - runtime files
i  libpolkit-agent-1-0 - PolicyKit Authentication Agent API
i  libpolkit-gobject-1-0 - PolicyKit Authorization API
i  libpopt0 - lib for parsing cmdline parameters
i  libprocps7 - library for accessing process information from /proc
i  libproxy1-plugin-gsettings - automatic proxy configuration management library (GSettings plugin)
i  libproxy1-plugin-networkmanager - automatic proxy configuration management library (Network Manager plugin)
i  libpython3-stdlib - interactive high-level object-oriented language (default python3 version)
i  libpython3.7-minimal - Minimal subset of the Python language (version 3.7)
i  libpython3.7-stdlib - Interactive high-level object-oriented language (standard library, version 3.7)
i  libreadline8 - GNU readline and history libraries, run-time libraries
i  libreoffice-calc - office productivity suite -- spreadsheet
i  libreoffice-gnome - office productivity suite -- GNOME integration
i  libreoffice-help-de - office productivity suite -- German help
i  libreoffice-help-en-gb - office productivity suite -- English_british help
i  libreoffice-help-en-us - office productivity suite -- English_american help
i  libreoffice-help-es - office productivity suite -- Spanish help
i  libreoffice-help-fr - office productivity suite -- French help
i  libreoffice-help-it - office productivity suite -- Italian help
i  libreoffice-help-ja - office productivity suite -- Japanese help
i  libreoffice-help-pt - office productivity suite -- Portuguese help
i  libreoffice-help-pt-br - office productivity suite -- Portuguese_brazilian help
i  libreoffice-help-ru - office productivity suite -- Russian help
i  libreoffice-help-zh-cn - office productivity suite -- Chinese_simplified help
i  libreoffice-help-zh-tw - office productivity suite -- Chinese_traditional help
i  libreoffice-impress - office productivity suite -- presentation
i  libreoffice-l10n-ar - office productivity suite -- Arabic language package
i  libreoffice-l10n-de - office productivity suite -- German language package
i  libreoffice-l10n-en-gb - office productivity suite -- English_british language package
i  libreoffice-l10n-en-za - office productivity suite -- English_southafrican language package
i  libreoffice-l10n-es - office productivity suite -- Spanish language package
i  libreoffice-l10n-fr - office productivity suite -- French language package
i  libreoffice-l10n-it - office productivity suite -- Italian language package
i  libreoffice-l10n-ja - office productivity suite -- Japanese language package
i  libreoffice-l10n-pt - office productivity suite -- Portuguese language package
i  libreoffice-l10n-pt-br - office productivity suite -- Portuguese_brazilian language package
i  libreoffice-l10n-ru - office productivity suite -- Russian language package
i  libreoffice-l10n-zh-cn - office productivity suite -- Chinese_simplified language package
i  libreoffice-l10n-zh-tw - office productivity suite -- Chinese_traditional language package
i  libreoffice-writer - office productivity suite -- word processor
i  libroken18-heimdal - Heimdal Kerberos - roken support library
i  libsasl2-2 - Cyrus SASL - authentication abstraction library
i  libsasl2-modules-db - Cyrus SASL - pluggable authentication modules (DB)
i  libseccomp2 - high level interface to Linux seccomp filter
i  libselinux1 - SELinux runtime shared libraries
i  libsemanage-common - Common files for SELinux policy management libraries
i  libsemanage1 - SELinux policy management library
i  libsepol1 - SELinux library for manipulating binary security policies
i  libslang2 - S-Lang programming library - runtime version
i  libsmartcols1 - smart column output alignment library
i  libsodium23 - Network communication, cryptography and signaturing library
i  libsqlite3-0 - SQLite 3 shared library
i  libss2 - command-line interface parsing library
i  libssl1.1 - Secure Sockets Layer toolkit - shared libraries
